Q93553	A0A087WNU1
Q9BL53	Q3TAQ9
P91052	Q3TAS6
Q09393	Q3TBD2
Q20046	Q3TBT3
Q9N360	Q3TBW2
O45946	Q3TCH7
Q9N3T5	Q3TCJ1
G5EC21	Q3TCN2
Q19204	Q3TDD9
Q8I4L6	Q3TDK6
G5EDL3	Q3TDN2
Q21201	Q3TDQ1
P17487	Q3TDX8
Q9TYJ7	Q3TEA8
Q23121	Q3TES0
P34392	Q3TFD2
Q65ZB4	Q3THE2
Q9N5X6	Q3THG9
P30635	Q3THK3
G5EFV3	Q3THK7
P34343	Q3THS6
Q9XVS4	Q3THW5
Q9TYS8	Q3TIR3
G5EC36	Q3TIU4
Q95QR6	Q3TIV5
O45819	Q3TIX6
Q23145	Q3TIX9
O16429	Q3TJD7
Q19994	Q3TJZ6
Q9NAB3	Q3TKY6
Q21024	Q3TL26
Q22146	Q3TL44
Q21962	Q3TLD5
Q22703	Q3TLH4
O76368	Q3TLI0
Q8IA87	Q3TLP5
Q20083	Q3TLR7
Q19701	Q3TMX7
Q20865	Q3TN34
Q21346	Q3TNA1
Q18827	Q3TPE9
Q18934	Q3TQI7
P49391	Q3TRM4
Q17458	Q3TRR0
B7WNB0	Q3TTA7
Q18822	Q3TTC2
Q20849	Q3TTE0
O45159	Q3TTY0
Q9NF14	Q3TTY5
P49595	Q3TUF7
Q09967	Q3TVI8
O17899	Q3TVW5
P17140	Q3TW96
G5EFS2	Q3TWF6
Q9N574	Q3TWI9
Q9NF71	Q3TWW8
Q95008	Q3TXS7
Q18265	Q3TXU5
O01974	Q3TXX4
A8WFJ8	Q3TYA6
O01616	Q3TYG6
Q9XXC4	Q3TYS2
P91416	Q3TZX3
Q9TXZ9	Q3TZX8
Q9U267	Q3TZZ7
Q8ITW4	Q3U095
Q21489	Q3U0D9
Q19734	Q3U0J8
O01592	Q3U0K8
O18687	Q3U0M1
Q95Y69	Q3U0P1
Q93338	Q3U0V1
O01483	Q3U0V2
O16405	Q3U0X6
O17666	Q3U108
Q20107	Q3U133
Q18809	Q3U182
Q21210	Q3U186
O45463	Q3U1F9
Q86MD3	Q3U1G5
P55853	Q3U1J4
A5JYX8	Q3U1N2
P91428	Q3U213
O17728	Q3U214
Q9XXI8	Q3U284
G5ED26	Q3U286
Q9U2Q8	Q3U288
P41942	Q3U2K5
Q9BL64	Q3U2P1
Q18489	Q3U2S4
U4PBN3	Q3U2U7
C6KRN1	Q3U319
O17036	Q3U3N0
Q20357	Q3U3R4
Q9N4G4	Q3U3W2
Q18556	Q3U4B1
O61206	Q3U4G3
A0A1I6CM90	Q3U4H5
Q19983	Q3U564
P54216	Q3U5C7
Q22398	Q3U6K5
Q9XU97	Q3U7R1
Q95Y29	Q3U7U3
Q5FC17	Q3U821
Q22067	Q3U8K7
P34544	Q3U962
Q20829	Q3U9F6
Q18990	Q3U9G9
G5ECC0	Q3UA06
P34330	Q3UA37
Q9N3T3	Q3UAB1
Q95QK1	Q3UB74
O45926	Q3UBG2
Q9N5E7	Q3UBX0
Q9TXI1	Q3UBZ5
Q9N4H8	Q3UCV8
G5EFE7	Q3UDE2
Q9BL26	Q3UDR8
Q19739	Q3UE37
O01422	Q3UEB3
Q9N3U9	Q3UES3
Q95XX5	Q3UFB7
Q19572	Q3UFQ8
Q09961	Q3UFY4
O44781	Q3UFY7
G5ECV9	Q3UFY8
A0A0M7RDW0	Q3UG20
Q966J4	Q3UG98
G5EDW8	Q3UGC7
Q93968	Q3UGF1
Q9U297	Q3UGR5
O16218	Q3UGS4
G5EFI9	Q3UH06
Q93616	Q3UH60
O16213	Q3UH66
U4PDZ2	Q3UH68
Q93381	Q3UH93
Q11069	Q3UH99
Q11106	Q3UHA3
A0A168H5K4	Q3UHB1
F5GUC6	Q3UHB8
C6KRL6	Q3UHC2
Q21465	Q3UHC7
Q18660	Q3UHD1
Q9XTU9	Q3UHD6
P04630	Q3UHD9
Q8MXR3	Q3UHF7
Q21924	Q3UHH1
Q9BI88	Q3UHJ0
Q93535	Q3UHK6
Q21557	Q3UHK8
H2KZR6	Q3UHL1
O16658	Q3UHU5
P34344	Q3UHX0
Q21454	Q3UHX2
Q19585	Q3UHX8
P25807	Q3UHX9
P17331	Q3UI43
G5EFL0	Q3UIL6
Q23541	Q3UIU2
P80361	Q3UIW5
Q09384	Q3UIX4
Q9N419	Q3UJ81
P41855	Q3UJB0
G5ECX8	Q3UJB9
P91246	Q3UJD6
Q19064	Q3UJU9
Q9U1V0	Q3UK78
Q9NAH7	Q3UKC1
H2KZH7	Q3UKG2
Q22505	Q3UKJ7
Q9N357	Q3UL36
P34722	Q3ULA2
Q21126	Q3ULD5
P34304	Q3ULF4
Q967F3	Q3ULJ0
Q09245	Q3ULZ2
Q19133	Q3UM18
G5EGG9	Q3UM29
Q9XWV4	Q3UM45
P02513	Q3UMF0
G5ECE3	Q3UMG5
O45086	Q3UMM4
Q20548	Q3UMR0
Q8MXF3	Q3UMR5
Q86G92	Q3UMT1
Q8WQD8	Q3UMU9
Q9XWZ5	Q3UMY5
O17151	Q3UN02
O62263	Q3UN04
A0A8D9I604	Q3UN16
H2KYW0	Q3UNH4
Q17353	Q3UNW5
O18005	Q3UP87
G5EFQ4	Q3UPF5
Q22140	Q3UPH1
Q9N384	Q3UPL0
Q5CCI4	Q3UPP8
Q22249	Q3UPY5
A0A078BS36	Q3UQ17
G5EDQ5	Q3UQ28
Q2XMY3	Q3UQ41
Q18318	Q3UQ44
G2HK16	Q3UQ84
Q86S66	Q3UQN2
P91198	Q3UQP1
Q10120	Q3UQU0
G5ECT7	Q3UQV5
Q9GYL3	Q3UR70
Q9N3L2	Q3UR85
Q21926	Q3URD3
Q8T3U1	Q3URK3
Q7JPQ6	Q3URQ0
O02323	Q3URR7
P91176	Q3URS9
Q23679	Q3URU2
P34693	Q3URZ6
Q93289	Q3US16
H2KZH5	Q3USB6
A3FPJ2	Q3USB7
O01481	Q3USJ8
Q9TXI8	Q3USS3
Q9U2L6	Q3USW5
Q23500	Q3UTJ2
Q23495	Q3UTQ8
Q9Y0V6	Q3UU96
Q18965	Q3UV17
O44787	Q3UV70
Q9N4L6	Q3UVK0
A0A5E4LWV7	Q3UVL4
G5ECH3	Q3UVP4
W6RRQ8	Q3UVX5
Q21799	Q3UW53
B2D6K9	Q3UWA6
Q9XXQ6	Q3UWW6
Q09654	Q3UX10
P46559	Q3UX62
D7SFQ3	Q3UXW4
Q9TYQ4	Q3UXZ6
O61709	Q3UXZ9
O01870	Q3UYH7
O44516	Q3UYK3
Q95Y71	Q3UYL4
G5EEQ8	Q3UYV9
Q17595	Q3UZ18
Q10667	Q3UZ39
Q09665	Q3UZA1
Q9NAI5	Q3UZD5
Q18821	Q3UZY0
O44666	Q3UZZ6
Q19958	Q3V009
G5EGR6	Q3V0C5
P46554	Q3V0G7
Q9N4P9	Q3V0H8
Q9GUH0	Q3V124
N1NVB5	Q3V132
Q22792	Q3V172
O01876	Q3V1D3
Q17431	Q3V1L4
Q9XXH8	Q3V1N9
P91487	Q3V1T4
Q86S68	Q3V1V3
O01975	Q3V1Z5
Q18096	Q3V3I2
Q9XV40	Q3V3Q4
Q19123	Q3V3Q7
O18269	Q3V3R1
P91483	Q3V3R4
Q19813	Q3V3V9
B3WFW4	Q3V3W4
Q17657	Q3ZT31
H8ESG0	Q400C8
Q10042	Q45VK7
Q9XWG6	Q497I4
Q23248	Q497N6
J7SEY9	Q499E5
G5EG83	Q4ACU6
Q22718	Q4JFN6
Q8I0P7	Q4JIM5
G4RYA5	Q4JK59
Q93211	Q4KMM3
Q8I4J8	Q4KMM7
A3QMC6	Q4KUS2
Q20069	Q4PJX1
Q09637	Q4PZA2
Q19554	Q4QY64
Q18225	Q4U2R1
G5EDE2	Q4U4S6
O45713	Q4VA29
O01497	Q4VA53
A8WFK3	Q4VA61
Q17648	Q4VAA7
Q95QF9	Q4VAE3
Q18086	Q4VBD2
W6RXW2	Q4VBD9
O44133	Q4VBE8
O45231	Q4VC33
Q20813	Q4VGL6
O16198	Q4ZGD8
O62159	Q501J6
Q8WTJ4	Q501J7
Q21205	Q501P1
Q21512	Q504M2
Q17621	Q505B8
O01526	Q505D1
Q95Y12	Q505D7
Q23202	Q505D9
Q18687	Q505F1
Q9NAH3	Q505F5
H2KYN1	Q50E62
Q95Q00	Q50H33
P91390	Q52KE7
Q95YF1	Q52KI8
Q9U2E4	Q52KP5
Q9XXM0	Q52KR2
Q21945	Q52KR3
P34663	Q569E7
Q19345	Q569L8
Q19673	Q569N2
Q9TYW1	Q569Z5
P90783	Q569Z6
O02655	Q56A10
Q9XUJ7	Q570Y9
Q9U2G8	Q571C7
P17486	Q571E4
Q56VY3	Q571F8
A0A163UT06	Q571G4
Q65ZJ0	Q571H0
P34648	Q571I4
Q23316	Q571K4
H2L025	Q587J6
Q23536	Q58A65
P49622	Q5BJ29
B1V8I9	Q5BKP2
A0A0K3ARI6	Q5BL07
O61757	Q5DID3
G5EF60	Q5DTJ9
P41880	Q5DTL9
O46023	Q5DTM8
G5ECL6	Q5DTN8
H2FLI6	Q5DTT3
Q95X85	Q5DTV4
G5EDI8	Q5DTY9
H2L0Q6	Q5DTZ0
Q9N338	Q5DU02
V6CIR3	Q5DU05
P43509	Q5DU09
A0A168H3A5	Q5DU14
Q9N492	Q5DU25
U4PR82	Q5DU31
O17581	Q5DU37
O17787	Q5DU41
Q86N72	Q5DU57
P53588	Q5DW34
G5ECJ6	Q5EBJ4
Q21038	Q5EG47
Q95R19	Q5F226
Q9N2W9	Q5F293
O44954	Q5F2E7
Q9U1W0	Q5F2E8
O16420	Q5FWH6
Q23494	Q5FWK3
O44568	Q5GH64
Q17835	Q5GH68
Q20071	Q5H8B9
Q9BIB3	Q5H8C4
O17065	Q5HZG4
Q9BHK7	Q5HZJ0
Q20095	Q5I012
Q20100	Q5I1X5
Q9N586	Q5IR70
A0A8S4SQK1	Q5IRJ6
Q18650	Q5KU39
G5EDB6	Q5M8N0
Q23629	Q5NBX1
Q09512	Q5NBY9
O61890	Q5NC05
Q9NAP0	Q5NC83
Q9N3Q8	Q5NCF2
P91361	Q5NCR9
Q3Y3Z9	Q5NCX5
O16784	Q5NCY0
Q5FC44	Q5ND28
Q9BL86	Q5ND34
H2L2K3	Q5ND52
P34335	Q5PR68
Q86B36	Q5PR73
Q23651	Q5PSV9
O16689	Q5QHR8
O16924	Q5QNQ9
P50581	Q5RJ54
O16359	Q5RJG1
Q9UAX0	Q5RJH6
Q09646	Q5RJI5
Q21822	Q5RKS2
Q23406	Q5RKZ7
G5ED95	Q5S003
G5EG39	Q5S006
Q18607	Q5S248
Q9U367	Q5SF07
Q9BL48	Q5SNZ0
Q9N5U2	Q5SPL2
Q9XU10	Q5SPW0
A0A0K3AWU4	Q5SQX6
P91051	Q5SRX1
Q19866	Q5SRY7
Q9N4V4	Q5SS00
Q20121	Q5SSE9
Q09508	Q5SSI6
Q95ZW9	Q5SSK3
O17898	Q5SSL4
Q10654	Q5SSM3
Q9U235	Q5SSW2
A0A3B1E3S9	Q5SSZ5
W6RY92	Q5SSZ7
Q20013	Q5SU73
A0A7R9SUK8	Q5SUA5
Q86DA5	Q5SUC9
O45221	Q5SUF2
Q9N423	Q5SUQ9
Q8T3B9	Q5SUR0
Q9N5Z0	Q5SUV2
H2L2J9	Q5SV85
Q9XXK9	Q5SVL6
Q7YSI9	Q5SVQ0
Q09457	Q5SVR0
Q9N5D6	Q5SW19
U4PBJ5	Q5SW45
Q10038	Q5SWD9
H2L0P2	Q5SWP3
G5EEE5	Q5SWU9
Q95Q58	Q5SWW4
Q9XWD1	Q5SX39
Q19752	Q5SX40
Q95PW5	Q5SXA9
O01902	Q5SXC4
P41847	Q5SXY1
O18158	Q5SYD0
Q9XX63	Q5SYH2
Q19276	Q5U3K5
O45115	Q5U405
P26797	Q5U458
Q18419	Q5U4C1
Q9XUJ2	Q5U4C9
H2KY84	Q5U4D9
Q19617	Q5U4F6
B7WNB4	Q5U5Q9
Q23665	Q5UAK0
Q17911	Q5UBV8
Q5FC43	Q5XF89
Q23194	Q5XG69
Q18026	Q5XG71
G5EEC8	Q5XG73
Q9U1W5	Q5XJE5
Q7Z145	Q5XJV6
P55326	Q5XJY5
O76672	Q5XKE0
W6SBD7	Q5XKN4
G5ECW9	Q5XPI3
O62160	Q60519
Q1ZXS5	Q60520
G5EDJ6	Q60575
O02109	Q60585
Q965R3	Q60590
Q18264	Q60592
Q23084	Q60596
O45075	Q60597
O01900	Q60598
G5EBE4	Q60603
O44451	Q60605
Q10572	Q60610
Q17728	Q60611
P34471	Q60625
G5ECG0	Q60631
H2KYA6	Q60634
Q9XXA7	Q60636
Q09292	Q60641
Q22499	Q60644
P91867	Q60649
Q9NA69	Q60662
Q9TZB0	Q60664
Q22974	Q60665
O17680	Q60668
Q9N392	Q60670
Q17413	Q60674
Q20234	Q60675
P46975	Q60676
O16462	Q60677
O02088	Q60680
O62102	Q60692
Q21342	Q60707
Q19329	Q60710
Q22437	Q60714
P91050	Q60715
Q9N2W3	Q60716
Q20203	Q60718
O45948	Q60722
Q9NAC0	Q60736
Q20771	Q60737
O62272	Q60738
Q21750	Q60739
H2L0S3	Q60749
Q9XV56	Q60751
Q23155	Q60759
Q93410	Q60760
A0A4V0IJU8	Q60765
G5EBT6	Q60766
Q965H3	Q60769
Q9U6P6	Q60770
Q09217	Q60771
Q9XVK0	Q60772
Q9XVZ6	Q60778
Q21480	Q60779
Q21173	Q60780
P52484	Q60793
Q17551	Q60795
O62289	Q60803
O44750	Q60805
Q93594	Q60809
Q5WRT1	Q60813
Q20507	Q60821
Q21616	Q60823
G5ECQ2	Q60825
O17562	Q60829
O61770	Q60838
Q9XUP7	Q60841
Q19510	Q60847
Q8I7G4	Q60848
H2KZ73	Q60854
Q9XXJ2	Q60855
Q18042	Q60856
Q8WQL7	Q60857
Q21603	Q60862
Q965X6	Q60864
P98080	Q60865
Q9U2T0	Q60867
P91179	Q60870
Q965Q1	Q60875
O45189	Q60876
Q9NA72	Q60898
P06125	Q60899
P12845	Q60900
O62275	Q60902
Q22360	Q60925
Q09996	Q60930
Q9N4I0	Q60931
Q20168	Q60932
P34269	Q60934
Q9N3X4	Q60936
Q18530	Q60943
Q10122	Q60949
Q9XTG1	Q60952
A8DYR7	Q60953
O45995	Q60954
B3GWA5	Q60960
O17100	Q60963
G5ECZ9	Q60967
O02365	Q60972
Q9XVV3	Q60973
Q17796	Q60974
Q23261	Q60980
O01571	Q60988
Q9XTB5	Q60989
G5EGE3	Q60994
Q95XN5	Q60996
O16202	Q60997
Q23240	Q61001
O61881	Q61003
Q21045	Q61006
O44664	Q61010
O45952	Q61011
Q9TZ88	Q61016
Q6BER5	Q61024
Q19467	Q61026
Q09278	Q61033
Q03598	Q61035
Q18194	Q61036
G5EFE3	Q61037
O01963	Q61039
G5ECQ8	Q61043
Q20241	Q61048
Q93367	Q61066
Q93235	Q61074
Q19138	Q61079
G5ECL3	Q61081
B1V8K3	Q61083
V6CM14	Q61084
E8MDV8	Q61085
O61215	Q61087
Q10128	Q61089
Q95Q27	Q61090
Q19317	Q61092
Q9GYJ9	Q61093
O17897	Q61097
Q18955	Q61102
Q95QI6	Q61103
A4UVJ6	Q61107
Q21705	Q61112
Q9BL27	Q61116
Q09373	Q61120
P91485	Q61127
Q9N5Z6	Q61129
Q94271	Q61136
Q9U3J9	Q61137
O18688	Q61140
Q09449	Q61142
Q9N430	Q61143
G5EF50	Q61146
Q8I0Z7	Q61147
Q22814	Q61151
Q20373	Q61152
Q18661	Q61160
H2KYG4	Q61161
P91505	Q61164
Q19350	Q61165
Q02330	Q61166
Q6BET1	Q61168
Q17522	Q61169
Q21018	Q61171
Q94300	Q61176
Q09214	Q61179
Q19641	Q61180
O61955	Q61187
P34707	Q61188
G5EC97	Q61189
Q9GZH2	Q61191
O16276	Q61194
Q21106	Q61205
O45709	Q61206
P27420	Q61207
O44168	Q61210
Q22800	Q61211
G5EDZ2	Q61214
Q95QZ3	Q61216
Q95XW8	Q61220
Q9XUC2	Q61221
Q01608	Q61233
Q22647	Q61234
Q19187	Q61235
O16254	Q61239
Q20691	Q61245
Q9U1Y9	Q61247
Q9NAD6	Q61249
O61201	Q61263
Q22004	Q61271
Q9U310	Q61282
Q22537	Q61285
Q18739	Q61286
O45666	Q61288
O17005	Q61290
P17511	Q61292
C1P636	Q61301
Q21298	Q61312
Q95XX0	Q61315
Q22292	Q61316
Q95X91	Q61321
Q19872	Q61324
P34519	Q61329
G5EE96	Q61330
Q23221	Q61335
P91223	Q61337
H2KZE3	Q61361
Q9GSX9	Q61371
A0A0K3AV98	Q61387
O17839	Q61390
Q9BKQ9	Q61411
H2L040	Q61412
Q09252	Q61414
Q17401	Q61418
G5EGP2	Q61423
Q9N5V3	Q61425
Q09220	Q61456
Q9BI89	Q61457
Q20308	Q61464
P46550	Q61466
Q9N483	Q61469
X5LX81	Q61473
Q9NAB7	Q61475
O45868	Q61481
P90915	Q61483
O62104	Q61490
Q21884	Q61493
Q93838	Q61495
B7WN56	Q61496
O02055	Q61501
Q8I7N6	Q61508
Q95Y82	Q61510
Q93714	Q61526
P12114	Q61527
Q9NA87	Q61532
P36573	Q61539
G5EEK9	Q61543
Q18885	Q61545
G5EBJ7	Q61548
O18015	Q61550
O45406	Q61553
Q9XX47	Q61554
Q21601	Q61555
P50305	Q61576
O01255	Q61578
Q95005	Q61584
P91129	Q61586
G2HK10	Q61592
P34281	Q61595
Q20034	Q61598
Q21083	Q61599
O45628	Q61602
Q21854	Q61609
Q9XVJ1	Q61624
Q19683	Q61625
Q09279	Q61626
Q21353	Q61627
Q20264	Q61644
Q17598	Q61645
Q18799	Q61646
P49808	Q61655
Q93573	Q61656
O17167	Q61660
H2KZ72	Q61666
Q94131	Q61686
Q9GYH9	Q61687
Q2PJ68	Q61696
P48727	Q61699
Q9U2Z0	Q61701
G5EEM1	Q61702
Q8MXI4	Q61712
P34711	Q61730
Q21738	Q61733
Q22482	Q61735
A0A8S4QAX9	Q61739
Q21954	Q61749
P91866	Q61751
Q94230	Q61753
A0A0K3AUF6	Q61765
A0A061ACG4	Q61768
G5EDU3	Q61771
Q95XJ0	Q61781
Q9GYS1	Q61789
Q21219	Q61792
Q7Z072	Q61810
Q9BL17	Q61818
G5EGU1	Q61820
Q18880	Q61823
O44991	Q61824
Q4TTA9	Q61827
Q965T2	Q61831
Q9TY06	Q61838
Q19503	Q61839
G5EDF0	Q61846
O18686	Q61847
Q21952	Q61879
O44408	Q61881
O44897	Q61885
Q8T7Y4	Q61909
P49196	Q61937
Q20390	Q61941
Q19090	Q61982
Q09565	Q61990
O45442	Q62009
Q9XW41	Q62018
Q9N3W2	Q62028
Q6BEW1	Q62036
Q94188	Q62048
Q17620	Q62059
G5EEA3	Q62073
O17568	Q62074
Q18421	Q62077
Q22975	Q62084
G5EF20	Q62087
Q19818	Q62093
G5EDF9	Q62095
Q7YTL0	Q62101
O01683	Q62108
G5EGG8	Q62120
O45812	Q62130
P30634	Q62132
Q20275	Q62141
Q19980	Q62158
Q21753	Q62159
Q20057	Q62165
P48152	Q62167
Q9N432	Q62168
Q86FN3	Q62172
Q9XTC6	Q62176
Q20180	Q62177
G5EDZ7	Q62178
P32744	Q62179
O17726	Q62181
O17687	Q62188
O01530	Q62189
Q9UAZ2	Q62190
O77469	Q62191
Q20822	Q62193
O18036	Q62203
Q20229	Q62205
O01496	Q62209
Q966H8	Q62210
Q7YTI4	Q62217
Q9XWC2	Q62219
Q27482	Q62225
Q19965	Q62227
O17807	Q62231
Q9NAF6	Q62232
Q9U2G5	Q62233
P34467	Q62234
Q22310	Q62240
P10771	Q62241
P46822	Q62245
Q17740	Q62255
Q21502	Q62261
G5EEH2	Q62276
Q9U2Z1	Q62277
Q9TXP5	Q62282
P34313	Q62296
Q20689	Q62311
P54936	Q62312
A0A0K3AS53	Q62314
P91563	Q62315
G5EET8	Q62318
O45346	Q62348
H2KY90	Q62351
G4RRB3	Q62356
G5EC23	Q62371
Q21966	Q62376
Q7YX25	Q62381
Q95XZ5	Q62383
Q8MXS5	Q62384
P91280	Q62388
G5EGJ8	Q62392
O01773	Q62393
O17072	Q62396
Q9XVB1	Q62406
Q3LRZ3	Q62407
Q564X7	Q62415
O45679	Q62417
P34288	Q62418
G5EFV5	Q62419
Q9XUW9	Q62420
G5EG47	Q62421
Q20257	Q62422
Q23120	Q62424
Q22352	Q62425
Q9XWN6	Q62426
Q21366	Q62431
Q22618	Q62432
Q86S29	Q62433
O45686	Q62440
Q09946	Q62441
Q9NET8	Q62442
O62360	Q62443
Q65XX2	Q62446
Q1ZXU9	Q62447
Q965P0	Q62448
O44956	Q62465
Q21953	Q62468
Q9XWN9	Q62469
U4PE35	Q62470
P41990	Q62481
Q9XUW5	Q62504
K7ZUN4	Q62507
Q21528	Q62511
Q9BKR0	Q62520
Q18043	Q62523
G5ECC9	Q63739
Q965T6	Q63810
Q9N474	Q63836
O18694	Q63844
O18215	Q63850
H2KZA6	Q63870
P90953	Q63912
Q5FC71	Q63918
O45244	Q63932
G5EFQ0	Q63934
Q9U334	Q63943
Q8MPT2	Q63961
P91869	Q63ZV0
Q22179	Q63ZW7
H2KY55	Q64008
O44739	Q64010
G5ECM8	Q64012
Q20351	Q64028
G5EEF6	Q64092
Q20595	Q64096
G5EGD7	Q640L5
Q7JPE3	Q640M1
Q9N5B1	Q640N1
A3QMD6	Q640N3
O01256	Q640P4
Q9N3J4	Q640R3
G5EFU3	Q64105
G5EG36	Q64112
P42170	Q64127
D3NQB6	Q64133
Q19443	Q64143
G5EGB9	Q64151
Q9XWS3	Q64152
O76554	Q64163
P91856	Q64191
O16999	Q641K1
Q20068	Q64213
Q09253	Q64249
A0A131MBE3	Q64261
Q95QM9	Q64279
G5ED70	Q64282
Q9BIC2	Q64287
O76642	Q64310
G5EBM1	Q64317
P34476	Q64318
Q95QA6	Q64321
G5EFM7	Q64324
A7DTF5	Q64327
Q9GYF1	Q64331
A9Z1L6	Q64332
P34331	Q64337
Q9XXM6	Q64338
Q9XTT4	Q64339
Q18488	Q64345
Q18269	Q64355
Q5F4U5	Q64362
Q09591	Q64364
Q9NAI7	Q64368
Q18930	Q64373
Q20369	Q64378
G5EDJ7	Q64429
Q19825	Q64433
Q19022	Q64434
Q19393	Q64436
Q9NHC3	Q64441
G5EET6	Q64442
P91575	Q64446
Q21486	Q64449
A0A131MAV3	Q64455
Q9N4I1	Q64458
P47209	Q64462
O44167	Q64467
Q9XXI3	Q64471
P41879	Q64475
Q95QN1	Q64487
Q22743	Q64511
Q9GR61	Q64512
U4PER3	Q64514
O18067	Q64516
Q17962	Q64518
G5EG22	Q64520
G5EDA3	Q64521
Q23683	Q64522
G5EDC6	Q64523
Q22029	Q64524
Q09969	Q64525
Q94251	Q64527
G1K105	Q64669
O61834	Q64691
Q95PZ4	Q64700
Q94361	Q64701
P91019	Q64702
Q9U234	Q64704
Q9BHL0	Q64726
Q17430	Q64727
Q19959	Q64729
Q7K6J1	Q64732
O01572	Q64735
Q10651	Q64737
O76652	Q65CL1
O16525	Q65Z40
Q21997	Q65Z93
H2KYX1	Q65Z95
O17560	Q66GT5
O45873	Q66JY2
Q20737	Q66K08
O62055	Q66L42
B1V8I7	Q66LM6
Q7Z116	Q66PY1
Q5ZEQ4	Q66T02
O44657	Q68ED2
Q11088	Q68ED3
G5EG54	Q68ED7
Q9NF15	Q68EF0
O45374	Q68EF4
Q19128	Q68EF6
P49049	Q68EF8
O01761	Q68FD5
Q9N3P6	Q68FD7
Q93459	Q68FD9
Q9TZH8	Q68FE2
Q22977	Q68FE6
Q20724	Q68FE8
Q18008	Q68FE9
Q23089	Q68FF6
Q19275	Q68FG2
Q9XUN9	Q68FH0
Q22061	Q68FL4
Q23050	Q68FL6
Q8MXF1	Q68FM6
Q18347	Q68FM7
Q9U384	Q68G58
Q17417	Q68SA9
Q20036	Q69Z23
Q23661	Q69Z26
Q9XWU3	Q69Z38
Q9NAB0	Q69Z66
P91079	Q69Z98
Q95Y35	Q69Z99
Q17883	Q69ZA1
Q27485	Q69ZB0
O61906	Q69ZC8
G5EDV1	Q69ZF8
Q95QR3	Q69ZH9
Q9GZE9	Q69ZI1
G5EF48	Q69ZK0
P91454	Q69ZK6
Q9N4N4	Q69ZK9
Q21130	Q69ZL1
K8ES99	Q69ZM6
E3W751	Q69ZN6
A0A131MCR4	Q69ZN7
Q1ZXR9	Q69ZR2
Q93319	Q69ZR9
Q9U539	Q69ZS0
Q8MXS1	Q69ZS7
Q23321	Q69ZS8
O18693	Q69ZU6
P91136	Q69ZW3
Q95PZ6	Q69ZX6
G5EBT9	Q69ZX8
Q22781	Q69ZZ9
Q21322	Q6A009
Q7YX28	Q6A026
Q23079	Q6A028
O62189	Q6A037
G5EEH5	Q6A051
Q11181	Q6A065
Q966C6	Q6A068
Q21910	Q6A070
G5EET5	Q6A078
P34696	Q6A0A2
G5EBU5	Q6A0A9
Q21177	Q6A4J8
Q19243	Q6AW69
Q9NAP7	Q6AXF6
P91834	Q6AXF8
O45380	Q6AZB0
Q21111	Q6B8I0
A0A486WV52	Q6DFV1
Q94261	Q6DFV3
O45303	Q6DFV5
Q18616	Q6DFV7
Q9N4H7	Q6DFW4
O18173	Q6DFY2
Q18546	Q6DI86
P34425	Q6DIB5
G5EEQ3	Q6DIC0
G5ECA8	Q6DID3
G5EE34	Q6DID7
Q22983	Q6EDY6
P34539	Q6EJB6
U4PE16	Q6GQS1
Q7K755	Q6GQT1
Q23272	Q6GQT9
Q23384	Q6GQU2
O45449	Q6GQV7
G5EDD7	Q6GQW0
Q9U3H5	Q6GQX2
Q9NAG7	Q6GQX8
A0A4V0INQ1	Q6GYP7
O17594	Q6IE82
P34314	Q6IFX2
Q23092	Q6IFX3
Q18547	Q6IFZ6
G5ED49	Q6IFZ8
G5EGK6	Q6IME9
Q9XXD3	Q6IMF0
Q9TZ63	Q6IQX7
Q9BL39	Q6IQX8
A0A0K3AR81	Q6IQY5
P91240	Q6IR22
Q21166	Q6IRU2
Q9UAY0	Q6IRU5
A0A164D3G3	Q6IRU7
Q8I4D6	Q6J1H4
Q17476	Q6JPI3
O17081	Q6KAP1
Q19200	Q6KAQ7
P34477	Q6KAR6
Q93595	Q6KAU4
Q7K7S3	Q6KAU8
G5EBM6	Q6KCD5
P34686	Q6NS46
A0A061ACG9	Q6NS60
Q22236	Q6NS69
O62496	Q6NSW3
Q9TYJ1	Q6NT99
H2L0L1	Q6NV83
Q18551	Q6NVE8
Q9NA84	Q6NVF0
Q18746	Q6NVF4
O17966	Q6NVF9
Q9GYG2	Q6NVG7
G5EG78	Q6NWV3
O45643	Q6NWW9
Q9N534	Q6NXH3
P91917	Q6NXH9
Q19035	Q6NXI8
Q9TVL3	Q6NXK7
Q8IG68	Q6NXK8
P91429	Q6NXL1
O02168	Q6NXY1
Q18065	Q6NY15
Q95ZW2	Q6NZB0
Q22173	Q6NZC7
Q18943	Q6NZF1
B3CJ34	Q6NZJ6
Q9NAQ9	Q6NZK5
G5EC14	Q6NZL0
O02254	Q6NZL8
A5JYW9	Q6NZM9
O44139	Q6NZN0
Q22143	Q6NZP1
O02096	Q6NZP2
Q9XU63	Q6NZQ4
P34642	Q6P069
Q21049	Q6P1B1
G5ECN5	Q6P1C1
G5EE98	Q6P1D7
Q09366	Q6P1E7
Q20052	Q6P1F6
O02626	Q6P1G0
Q9XVI2	Q6P1G2
Q9XWT6	Q6P1H6
O46016	Q6P2B1
D0VWM8	Q6P2K6
Q8I0Y8	Q6P2L7
Q93161	Q6P3A1
Q03574	Q6P3A8
Q11096	Q6P3B9
Q21754	Q6P3E7
P91011	Q6P3Y5
G5EFA8	Q6P3Y9
