P04039	A0A075BJP4
Q12060	Q9GYU7
P22517	Q9GYU8
P38886	Q9GYV5
P38968	Q9GYV9
P31755	Q9I7D0
P47119	Q9I7D3
Q08646	Q9I7H8
P40527	Q9I7I0
Q07949	Q9I7I1
P17123	Q9I7I7
Q04964	Q9I7J2
Q12161	Q9I7J8
Q12377	Q9I7K0
Q04898	Q9I7K5
P0CX47	Q9I7K8
P00358	Q9I7L0
Q02981	Q9I7L1
Q03266	Q9I7L4
P40955	Q9I7L7
Q3E830	Q9I7L8
P53552	Q9I7M8
Q03308	Q9I7N3
P38871	Q9I7P3
P32331	Q9I7Q6
P38324	Q9I7S8
P40493	Q9I7T5
P04449	Q9I7T7
P00931	Q9I7U2
P38863	Q9I7U5
P47183	Q9I7U7
P39974	Q9I7W2
P50275	Q9I7W5
P25638	Q9I7X6
P49089	Q9I7Z8
P47044	Q9N2M8
Q01926	Q9N6D7
P53070	Q9N9Y9
P48439	Q9NB04
P50076	Q9NB71
P10355	Q9NBD7
P53892	Q9NBK5
P31383	Q9NCC3
Q99181	Q9NCP8
Q12420	Q9NDJ2
Q03162	Q9NF31
P12887	Q9NFP1
P32598	Q9NFP5
P89105	Q9NFU0
P43593	Q9NGC3
Q03455	Q9NHB0
P53146	Q9NHD5
Q3E7Z8	Q9NHP8
P00425	Q9NHV6
P0CX21	Q9NHV9
P32807	Q9NIP6
Q3E806	Q9NIV1
P38866	Q9NJB5
P47130	Q9NJG9
P11709	Q9NJH0
P32572	Q9NK57
P53185	Q9NKV0
Q08387	Q9TVE6
P53336	Q9TVM2
P0CX22	Q9TVQ5
P14772	Q9U1H8
Q6Q546	Q9U1H9
P32379	Q9U1I1
P20438	Q9U1K1
Q05021	Q9U1L6
P40988	Q9U3V5
Q12451	Q9U3Z7
P40316	Q9U405
P40500	Q9U4L6
P34252	Q9U4U5
Q08550	Q9U5L1
P15891	Q9U5W4
P53009	Q9U616
P38191	Q9U6M0
P38841	Q9U6P7
P39720	Q9U6X3
Q12106	Q9U7D8
Q3E790	Q9U7P8
P38720	Q9U8L5
Q12471	Q9U915
Q06522	Q9U969
P47988	Q9U9Q1
P38797	Q9U9Q2
P54000	Q9U9Q4
P43619	Q9V333
Q07350	Q9V345
P40856	Q9V359
P80667	Q9V393
Q02457	Q9V395
P21373	Q9V397
Q9URQ5	Q9V3A0
Q12449	Q9V3A3
P34163	Q9V3A4
Q08269	Q9V3A8
Q12088	Q9V3B4
P36172	Q9V3B6
P48564	Q9V3B8
Q06436	Q9V3C0
P38755	Q9V3C2
P38758	Q9V3C4
P52960	Q9V3C6
Q04007	Q9V3C7
Q12066	Q9V3C8
P36091	Q9V3D2
P25594	Q9V3D4
Q12378	Q9V3D6
P20437	Q9V3D7
P43634	Q9V3D8
Q03834	Q9V3D9
P54783	Q9V3E9
Q06405	Q9V3F2
P52491	Q9V3F3
P38779	Q9V3G1
Q03674	Q9V3G3
P25619	Q9V3G6
Q06630	Q9V3G7
P23285	Q9V3G9
Q12256	Q9V3H0
Q05498	Q9V3H2
Q06466	Q9V3H7
P39970	Q9V3H8
O13539	Q9V3I1
P32835	Q9V3I2
P11914	Q9V3I3
Q12068	Q9V3I5
P53913	Q9V3I9
Q03177	Q9V3J1
Q05050	Q9V3J4
P0CX28	Q9V3J8
P53305	Q9V3K3
Q99186	Q9V3K7
P13856	Q9V3K9
P36096	Q9V3L0
P53883	Q9V3L4
P25334	Q9V3L6
Q12265	Q9V3L8
P38876	Q9V3M2
Q03833	Q9V3M9
Q3E793	Q9V3N1
Q04006	Q9V3N4
P38705	Q9V3P0
P33417	Q9V3P3
P05745	Q9V3P6
P35190	Q9V3P9
Q08457	Q9V3Q1
Q12157	Q9V3Q4
O13516	Q9V3Q6
P46965	Q9V3Q9
Q02767	Q9V3R3
Q03161	Q9V3R8
P25657	Q9V3S0
Q3E7Z5	Q9V3S3
P43539	Q9V3S6
Q07950	Q9V3S7
Q06665	Q9V3T8
P36077	Q9V3U2
P27472	Q9V3U6
P0CE96	Q9V3U7
Q06407	Q9V3V3
P25582	Q9V3V6
P36164	Q9V3V7
P41819	Q9V3V9
P32462	Q9V3W6
P53191	Q9V3W7
P53049	Q9V3W9
Q01919	Q9V3X2
P40476	Q9V3X3
P41812	Q9V3X4
P0CX66	Q9V3X8
P36012	Q9V3Y0
Q07913	Q9V3Y2
P23748	Q9V3Y7
P53099	Q9V3Y8
P26343	Q9V3Z1
Q08750	Q9V3Z2
Q12404	Q9V3Z4
Q08278	Q9V3Z9
P36519	Q9V405
P38288	Q9V406
Q08199	Q9V407
P41277	Q9V411
P35202	Q9V415
P53973	Q9V426
Q3E7A4	Q9V427
Q06820	Q9V428
P50873	Q9V434
Q06147	Q9V436
P32452	Q9V437
P38833	Q9V438
P41833	Q9V439
P41896	Q9V444
P50095	Q9V447
P39552	Q9V449
Q07527	Q9V452
P40099	Q9V453
P0C0V8	Q9V455
P07991	Q9V457
P50942	Q9V460
P25332	Q9V461
P19812	Q9V464
P21269	Q9V466
P25451	Q9V468
P14120	Q9V470
P40548	Q9V472
Q05611	Q9V477
P36081	Q9V490
Q08204	Q9V493
P53278	Q9V496
P20050	Q9V4A7
P47006	Q9V4B8
Q99296	Q9V4C1
P38709	Q9V4C4
Q02207	Q9V4C7
P32904	Q9V4C8
Q12458	Q9V4E0
P40058	Q9V4E6
P53744	Q9V4F4
P06182	Q9V4F9
P25630	Q9V4M2
P29461	Q9V4N3
Q05779	Q9V4P1
P42949	Q9V4Q8
P33413	Q9V4S8
P0CX46	Q9V4U9
P50082	Q9V521
P47088	Q9V535
Q06245	Q9V564
P36039	Q9V568
Q06810	Q9V574
Q12080	Q9V597
Q04177	Q9V5C6
Q02887	Q9V5E1
Q04082	Q9V5P6
P36018	Q9V5Z7
P23255	Q9V637
Q03764	Q9V668
P21657	Q9V676
P07213	Q9V6B9
P53082	Q9V6K1
P47141	Q9V6Q2
Q99210	Q9V6U8
P47185	Q9V6X7
Q02648	Q9V719
P53078	Q9V726
P53730	Q9V727
Q2V2Q3	Q9V771
Q99373	Q9V780
P05373	Q9V784
P32288	Q9V785
P36126	Q9V7D2
P00420	Q9V7N5
Q04806	Q9V7S5
Q06143	Q9V7W9
P40960	Q9V813
P48016	Q9V853
P42951	Q9V877
P53390	Q9V895
Q08818	Q9V8F5
P21825	Q9V8K2
P38735	Q9V8P9
Q12124	Q9V8R9
Q08991	Q9V8W3
Q08650	Q9V8Y2
P33313	Q9V931
P07266	Q9V9A9
P53123	Q9V9C8
Q03880	Q9V9E3
P38959	Q9V9J3
P19516	Q9V9K7
P32330	Q9V9M6
P22138	Q9V9M7
Q12259	Q9V9M8
P22543	Q9V9N4
P38427	Q9V9N7
P47064	Q9V9N9
P21771	Q9V9Q2
Q02354	Q9V9Q4
Q12748	Q9V9Q6
P47054	Q9V9R2
P48015	Q9V9S0
P47043	Q9V9S7
P37254	Q9V9T4
P25383	Q9V9T5
P38216	Q9V9U0
P38985	Q9V9V0
Q12438	Q9V9V7
P49687	Q9V9V8
P35056	Q9V9V9
P09440	Q9V9W3
Q12212	Q9V9Y4
P43601	Q9V9Y9
P43560	Q9V9Z1
Q12490	Q9V9Z4
P0CX63	Q9V9Z8
Q3E838	Q9V9Z9
Q3E826	Q9VA00
P0CX72	Q9VA02
P47144	Q9VA16
P48565	Q9VA18
P53756	Q9VA25
P25580	Q9VA30
Q07351	Q9VA31
Q99316	Q9VA32
P32781	Q9VA37
Q06839	Q9VA38
P32469	Q9VA42
Q12502	Q9VA54
Q12221	Q9VA69
P11710	Q9VA71
P39717	Q9VA79
P32902	Q9VA83
P42945	Q9VA91
Q03655	Q9VAA1
Q02969	Q9VAA6
P03878	Q9VAA9
P43535	Q9VAB8
Q08491	Q9VAC1
P32583	Q9VAC4
P07273	Q9VAC7
P43620	Q9VAC8
P40506	Q9VAD4
Q03677	Q9VAD5
Q12322	Q9VAD6
P38042	Q9VAE4
P18634	Q9VAF0
P40968	Q9VAF2
P41816	Q9VAF4
P39977	Q9VAI0
Q03231	Q9VAI3
Q12125	Q9VAI8
Q3E802	Q9VAJ1
P53747	Q9VAK5
Q08746	Q9VAL7
P38830	Q9VAM5
P48231	Q9VAM6
Q06321	Q9VAN0
P53551	Q9VAN7
Q06651	Q9VAN8
P39991	Q9VAN9
P40026	Q9VAP1
P25623	Q9VAP2
Q12040	Q9VAQ1
P40889	Q9VAQ7
P38180	Q9VAQ9
P47090	Q9VAR6
P10566	Q9VAS7
Q05016	Q9VAS9
P53250	Q9VAT0
Q02521	Q9VAT1
Q12032	Q9VAU3
Q07468	Q9VAU6
Q01163	Q9VAU9
P39106	Q9VAV6
Q06567	Q9VAW0
Q08270	Q9VAW2
P05318	Q9VAW3
Q99383	Q9VAW5
P39960	Q9VAW8
Q03281	Q9VAX3
Q07807	Q9VAX8
Q08651	Q9VAX9
P23639	Q9VAY2
P25615	Q9VAY3
P69852	Q9VAY6
P17558	Q9VAY8
P40530	Q9VAY9
P28319	Q9VAZ0
P38717	Q9VAZ1
P40098	Q9VB02
P53198	Q9VB04
P32849	Q9VB05
P35735	Q9VB08
P0CX49	Q9VB14
Q12250	Q9VB22
P40422	Q9VB23
P12685	Q9VB52
P47168	Q9VB53
P53946	Q9VB55
Q99359	Q9VB59
Q12017	Q9VB61
Q06179	Q9VB62
P53848	Q9VB64
P36078	Q9VB69
P15179	Q9VB74
P42833	Q9VB79
P39719	Q9VB81
P03881	Q9VB86
P43570	Q9VB90
Q07914	Q9VB95
Q04471	Q9VBA0
P38086	Q9VBA6
P53107	Q9VBC5
P38909	Q9VBC6
P21957	Q9VBD2
P32316	Q9VBD6
P28320	Q9VBD9
P47117	Q9VBE0
P00044	Q9VBE2
P30624	Q9VBF0
P36085	Q9VBH0
Q03029	Q9VBH7
P53742	Q9VBH8
P31109	Q9VBI0
P09064	Q9VBI1
Q06508	Q9VBI3
Q03375	Q9VBI4
Q02199	Q9VBJ6
P32476	Q9VBJ9
Q03673	Q9VBK1
Q01766	Q9VBK9
P52553	Q9VBL6
Q12015	Q9VBL8
Q12182	Q9VBM4
P04076	Q9VBM8
P04147	Q9VBN5
Q06406	Q9VBN9
P43573	Q9VBP2
P21560	Q9VBP3
P38248	Q9VBP5
Q03088	Q9VBP9
P32563	Q9VBQ1
P32803	Q9VBQ3
Q12038	Q9VBQ9
P28789	Q9VBR0
P32806	Q9VBR6
Q06005	Q9VBR9
P53265	Q9VBS5
P40501	Q9VBT2
P32645	Q9VBT7
P36052	Q9VBT8
P10962	Q9VBU5
P10622	Q9VBU6
P26321	Q9VBU9
P38810	Q9VBV3
P40565	Q9VBV5
P40208	Q9VBW6
Q08446	Q9VBW9
Q12477	Q9VBX1
Q12467	Q9VBX5
P32264	Q9VBX7
P38971	Q9VBY2
P46954	Q9VBY6
P40036	Q9VBY7
P19955	Q9VBY8
P38319	Q9VBZ6
P53270	Q9VC05
P14743	Q9VC06
P53121	Q9VC08
P47172	Q9VC10
P16523	Q9VC14
P47111	Q9VC28
P46678	Q9VC36
Q02889	Q9VC45
P0CY06	Q9VC47
P25628	Q9VC48
P32317	Q9VC49
P32589	Q9VC57
Q08687	Q9VC58
P33399	Q9VC60
P46676	Q9VC61
P46947	Q9VC64
Q12482	Q9VC65
P13586	Q9VC66
P25653	Q9VC87
Q12461	Q9VC90
P53924	Q9VC93
Q12239	Q9VC94
P53822	Q9VC96
P38688	Q9VCA8
Q08685	Q9VCB2
P53171	Q9VCC0
Q02203	Q9VCC3
Q08232	Q9VCC8
Q12389	Q9VCC9
P38689	Q9VCD5
O13585	Q9VCD8
Q04175	Q9VCE3
P15703	Q9VCE6
P40353	Q9VCE7
P38765	Q9VCE9
P40347	Q9VCF1
P26785	Q9VCF8
Q2V2P2	Q9VCG4
P53061	Q9VCG6
P28004	Q9VCH1
Q12056	Q9VCH4
P36059	Q9VCH5
Q02786	Q9VCH9
Q08887	Q9VCI0
P07272	Q9VCI3
P28240	Q9VCI5
P32789	Q9VCI9
P10127	Q9VCJ6
Q02979	Q9VCJ8
P40438	Q9VCK0
P46993	Q9VCK2
Q00578	Q9VCL2
Q02209	Q9VCM6
P40054	Q9VCN9
P40361	Q9VCP0
P08465	Q9VCQ2
Q04437	Q9VCQ7
Q12214	Q9VCQ9
Q06815	Q9VCR2
P52867	Q9VCR3
Q06678	Q9VCR6
Q02647	Q9VCS1
P38169	Q9VCS4
P47027	Q9VCS7
P38693	Q9VCT2
Q12096	Q9VCT3
P38878	Q9VCU6
P25037	Q9VCU7
P29478	Q9VCU8
P27680	Q9VCV3
Q08926	Q9VCV4
Q03081	Q9VCV9
Q3E742	Q9VCW0
Q04216	Q9VCW1
P36114	Q9VCW3
Q03629	Q9VCW6
P28321	Q9VCX1
P23644	Q9VCX6
Q04178	Q9VCX7
P53950	Q9VCY0
P14693	Q9VCY1
P38152	Q9VCY3
Q04894	Q9VCY7
Q99271	Q9VCY8
Q04066	Q9VCZ2
Q3E764	Q9VCZ5
P06839	Q9VCZ7
P40094	Q9VCZ8
Q12454	Q9VD01
P53843	Q9VD02
P32447	Q9VD05
P40368	Q9VD13
O13525	Q9VD17
P53751	Q9VD23
P40046	Q9VD25
Q05933	Q9VD26
Q08723	Q9VD28
P33329	Q9VD29
Q03503	Q9VD30
P43615	Q9VD35
P40511	Q9VD47
Q10740	Q9VD48
P36526	Q9VD51
P06104	Q9VD52
Q08218	Q9VD55
Q04089	Q9VD58
Q08182	Q9VD65
Q04162	Q9VD68
Q12154	Q9VD71
P36029	Q9VD72
Q02516	Q9VD81
P47089	Q9VD82
P43612	Q9VD92
P13483	Q9VDA0
P47101	Q9VDA3
P54072	Q9VDB7
P39111	Q9VDC1
P15732	Q9VDC3
P40342	Q9VDC6
P22134	Q9VDC8
P39995	Q9VDD0
P00635	Q9VDD1
P38867	Q9VDD5
P40469	Q9VDD7
P38852	Q9VDD8
P47056	Q9VDE2
P53691	Q9VDE3
P24869	Q9VDF0
Q06263	Q9VDF1
P80235	Q9VDF4
Q12049	Q9VDG1
P53159	Q9VDG2
P47047	Q9VDH8
P19880	Q9VDI1
P28743	Q9VDI6
Q12403	Q9VDJ8
Q03099	Q9VDJ9
Q02866	Q9VDK2
Q04675	Q9VDK7
P38308	Q9VDK9
Q02260	Q9VDL2
Q08271	Q9VDP7
P17890	Q9VDP8
Q12090	Q9VDP9
P32913	Q9VDQ3
Q04406	Q9VDQ4
Q08285	Q9VDQ5
Q05905	Q9VDQ6
P36166	Q9VDQ7
Q03525	Q9VDR1
P47023	Q9VDS3
P32610	Q9VDS5
Q08913	Q9VDS6
Q04398	Q9VDS7
P38769	Q9VDT1
P38770	Q9VDT2
P31380	Q9VDT4
P40092	Q9VDT6
Q3E828	Q9VDU3
P53975	Q9VDU4
P50945	Q9VDV3
Q02629	Q9VDW6
P35728	Q9VDW9
P47057	Q9VDX4
Q06071	Q9VDY4
P0C2J7	Q9VDZ1
P38201	Q9VDZ2
Q03208	Q9VDZ3
P53899	Q9VDZ5
P22434	Q9VE06
P08468	Q9VE16
P32829	Q9VE17
P26370	Q9VE19
Q12008	Q9VE38
P31384	Q9VE50
P34224	Q9VE51
P06780	Q9VE52
Q05515	Q9VE54
Q12229	Q9VE73
P24814	Q9VE75
Q03860	Q9VE80
Q12516	Q9VE86
P40529	Q9VE88
Q99337	Q9VE96
P40455	Q9VE98
Q12146	Q9VEA1
Q06449	Q9VEA2
Q05543	Q9VEA3
O60200	Q9VEA4
P38751	Q9VEA5
P38158	Q9VEA9
P38757	Q9VEB2
P25039	Q9VEB3
P32644	Q9VEB9
P38883	Q9VEC1
P53724	Q9VEC2
Q00947	Q9VEC3
Q12674	Q9VEC5
P47024	Q9VED1
P53114	Q9VED4
P18410	Q9VED8
P40481	Q9VEE9
P00330	Q9VEF0
P39521	Q9VEF4
P25651	Q9VEF5
Q08969	Q9VEF6
P40185	Q9VEG5
P24280	Q9VEG6
P39003	Q9VEG8
Q07555	Q9VEG9
P00572	Q9VEH6
Q05892	Q9VEI3
P18409	Q9VEI9
P33890	Q9VEJ1
Q12257	Q9VEJ2
Q08773	Q9VEJ4
P36069	Q9VEK1
P47158	Q9VEK2
P40057	Q9VEK7
Q08484	Q9VEK8
Q12260	Q9VEM0
P14906	Q9VEN1
Q08748	Q9VEN2
Q03723	Q9VEN3
P53111	Q9VEN5
Q05926	Q9VEN9
Q12078	Q9VEP4
Q12145	Q9VEP9
P38124	Q9VEQ1
P46984	Q9VEQ2
P38967	Q9VEQ6
P42950	Q9VER6
P39005	Q9VER7
P38123	Q9VES0
P0C2I8	Q9VES1
P38776	Q9VES4
Q08734	Q9VEU1
P21691	Q9VEU5
P47013	Q9VEU6
Q02863	Q9VEV1
P35195	Q9VEV2
P40309	Q9VEV3
P20081	Q9VEV4
Q12374	Q9VEW3
P36158	Q9VEW6
P40526	Q9VEX0
Q12285	Q9VEX4
P39516	Q9VEX6
P00445	Q9VEX9
Q12459	Q9VEY5
P42223	Q9VEZ3
P23059	Q9VEZ4
P48589	Q9VEZ5
P12383	Q9VF00
P07260	Q9VF03
P46987	Q9VF04
Q08226	Q9VF05
Q12358	Q9VF06
P38140	Q9VF08
Q03337	Q9VF09
P39543	Q9VF10
P18411	Q9VF15
P38702	Q9VF18
P53299	Q9VF23
P32641	Q9VF25
P89102	Q9VF28
P50084	Q9VF31
P25846	Q9VF37
Q12428	Q9VF40
P53961	Q9VF51
Q05024	Q9VF53
P53869	Q9VF59
Q12006	Q9VF68
Q03430	Q9VF72
P38622	Q9VF73
Q03080	Q9VF77
P00128	Q9VF82
P35843	Q9VF86
P0CX20	Q9VF87
P0C271	Q9VF92
P38293	Q9VF93
Q12181	Q9VFA2
P25559	Q9VFA3
P41902	Q9VFA8
Q02883	Q9VFB5
P40456	Q9VFB7
P36056	Q9VFB9
Q06325	Q9VFC2
P28241	Q9VFC7
P53956	Q9VFD1
P27697	Q9VFD9
Q04951	Q9VFE3
P38300	Q9VFE4
P43613	Q9VFE6
P32364	Q9VFF0
Q03898	Q9VFF3
P39008	Q9VFF6
Q12334	Q9VFG8
P36076	Q9VFH2
P53169	Q9VFH4
P23500	Q9VFH6
P47110	Q9VFH8
Q04949	Q9VFI7
Q08902	Q9VFJ3
P33309	Q9VFL4
Q03219	Q9VFL8
P38721	Q9VFL9
P30620	Q9VFM3
Q03305	Q9VFM4
Q99252	Q9VFN9
P36064	Q9VFP1
P40018	Q9VFP2
P32802	Q9VFP5
P53306	Q9VFP6
Q05947	Q9VFP8
P38828	Q9VFQ3
P19145	Q9VFQ9
P43547	Q9VFR1
P33894	Q9VFR4
Q06623	Q9VFS5
Q99278	Q9VFS8
P53312	Q9VFT7
P32837	Q9VFU0
Q03214	Q9VFU2
P40207	Q9VFU8
P39533	Q9VFV2
P17260	Q9VFV8
P23248	Q9VFV9
P40884	Q9VFW4
Q07716	Q9VFW5
P17898	Q9VFW6
P38816	Q9VFX1
P40563	Q9VFX6
P07267	Q9VFX8
Q08952	Q9VFY3
P38824	Q9VFY4
Q12455	Q9VFY5
P39684	Q9VFY9
P47068	Q9VG03
P16603	Q9VG05
P48560	Q9VG06
P48235	Q9VG07
Q04978	Q9VG09
P39712	Q9VG11
Q07505	Q9VG15
Q2V2P3	Q9VG22
P49090	Q9VG51
P46969	Q9VG55
P53337	Q9VG58
P38345	Q9VG59
Q12043	Q9VG62
Q08119	Q9VG69
Q04772	Q9VG73
P53311	Q9VG79
P36003	Q9VG82
P53745	Q9VG84
Q03691	Q9VG92
P35688	Q9VG93
P14066	Q9VG95
P80967	Q9VG96
P40577	Q9VG98
P50278	Q9VGA0
Q12178	Q9VGA1
P36521	Q9VGA4
P38312	Q9VGA8
P40167	Q9VGC1
P53951	Q9VGC7
P09368	Q9VGD0
P43606	Q9VGD3
P39531	Q9VGD6
P25569	Q9VGE2
Q03028	Q9VGE4
Q01976	Q9VGE5
P45820	Q9VGE7
Q08465	Q9VGF5
O13329	Q9VGF9
P50077	Q9VGG0
P32607	Q9VGG9
P07246	Q9VGH5
Q92393	Q9VGI1
P32468	Q9VGI4
P34111	Q9VGI6
P40395	Q9VGI8
P32448	Q9VGJ3
Q08229	Q9VGJ9
P36068	Q9VGK1
P38988	Q9VGK3
Q02888	Q9VGK7
P25572	Q9VGL1
Q12118	Q9VGL2
Q08686	Q9VGM5
Q3E740	Q9VGN4
P25355	Q9VGN9
P32323	Q9VGP1
Q03690	Q9VGP4
Q00582	Q9VGP6
Q06834	Q9VGQ0
P38775	Q9VGQ1
P43553	Q9VGQ4
P32799	Q9VGQ6
P53974	Q9VGR0
P39540	Q9VGR1
Q06597	Q9VGR2
P40052	Q9VGR7
P22203	Q9VGS2
P10591	Q9VGU4
Q08760	Q9VGU6
P53120	Q9VGU7
Q03782	Q9VGV7
Q00381	Q9VGV8
Q3E824	Q9VGW0
P33203	Q9VGW6
P53388	Q9VGW7
Q12003	Q9VGX0
P46682	Q9VGY0
P53879	Q9VGY3
P53932	Q9VGZ2
Q05867	Q9VGZ8
P19097	Q9VH07
Q08673	Q9VH18
P49018	Q9VH19
P36144	Q9VH25
Q12141	Q9VH36
P25302	Q9VH37
P36090	Q9VH39
P00410	Q9VH45
P07347	Q9VH48
P53065	Q9VH54
P40343	Q9VH57
P36532	Q9VH62
P11746	Q9VH64
P22147	Q9VH69
Q06340	Q9VH70
P36533	Q9VH76
P53266	Q9VH77
P38257	Q9VH80
P39520	Q9VH84
P53868	Q9VH87
P39952	Q9VH89
P38310	Q9VH90
P40048	Q9VH92
Q03818	Q9VH94
Q3E754	Q9VH95
Q04223	Q9VH96
P38746	Q9VH99
P54115	Q9VHA0
Q03656	Q9VHA4
Q06162	Q9VHA8
P42943	Q9VHA9
P25612	Q9VHB1
P53289	Q9VHB5
P38969	Q9VHB6
P38912	Q9VHB7
Q06704	Q9VHC0
P22035	Q9VHC3
P40509	Q9VHC7
Q08054	Q9VHD3
Q07967	Q9VHE3
Q8TGJ3	Q9VHE4
P40101	Q9VHF4
O13563	Q9VHG0
P10870	Q9VHG1
P06776	Q9VHG3
P25566	Q9VHG4
Q00246	Q9VHG5
P30605	Q9VHG6
Q3E762	Q9VHG8
Q12746	Q9VHH8
Q03631	Q9VHH9
Q03557	Q9VHI1
P28274	Q9VHI4
P40571	Q9VHI7
Q04749	Q9VHJ3
P40360	Q9VHJ7
P69850	Q9VHK6
P18408	Q9VHK9
P29547	Q9VHL0
Q08004	Q9VHL2
P09436	Q9VHM3
P48581	Q9VHM4
Q01454	Q9VHM5
P46951	Q9VHM7
P00127	Q9VHN0
P14063	Q9VHN1
P53331	Q9VHN5
P05744	Q9VHN7
P32179	Q9VHP0
Q07845	Q9VHP3
P39076	Q9VHP9
P06838	Q9VHR4
P32190	Q9VHR5
P25381	Q9VHR6
Q08909	Q9VHR8
P40362	Q9VHS6
Q04201	Q9VHS8
Q06134	Q9VHT2
Q08993	Q9VHT5
P07884	Q9VHT6
P38197	Q9VHT8
P38226	Q9VHT9
Q12016	Q9VHV1
P39933	Q9VHV3
P32387	Q9VHV5
P07256	Q9VHV6
Q07888	Q9VHW5
P53152	Q9VHX0
Q12425	Q9VHX4
P53540	Q9VHX7
P25377	Q9VHX9
Q05919	Q9VHY5
P57743	Q9VHZ7
Q03002	Q9VI00
P53134	Q9VI08
P52593	Q9VI10
Q02774	Q9VI13
P40897	Q9VI14
Q04958	Q9VI16
P53687	Q9VI23
P40061	Q9VI24
P36147	Q9VI25
P38066	Q9VI27
Q04895	Q9VI32
P36046	Q9VI35
P53139	Q9VI39
P22204	Q9VI53
P40090	Q9VI54
P32561	Q9VI55
Q06159	Q9VI56
P54786	Q9VI58
Q12743	Q9VI60
Q03790	Q9VI72
Q03533	Q9VI82
Q05777	Q9VI83
P32800	Q9VI84
P07275	Q9VI93
P37261	Q9VIB1
P36155	Q9VIB2
P33734	Q9VIB5
O13559	Q9VIC9
P25341	Q9VID1
P53323	Q9VID3
P54007	Q9VIE0
P25646	Q9VIE3
P47018	Q9VIE6
P32798	Q9VIE7
P40089	Q9VIE8
P37293	Q9VIF0
P32460	Q9VIF1
Q06709	Q9VIF2
Q04921	Q9VIF5
P13433	Q9VIF6
P43122	Q9VIG5
P53906	Q9VIH3
P00427	Q9VIH8
P47149	Q9VIJ0
P36525	Q9VIJ5
P41698	Q9VIK0
P21339	Q9VIK1
Q08176	Q9VIK3
P53335	Q9VIK6
P53101	Q9VIL0
P40066	Q9VIL1
Q8TGT6	Q9VIL2
Q06595	Q9VIL6
Q12462	Q9VIM5
P22224	Q9VIM6
P23615	Q9VIN1
Q12021	Q9VIP0
P53128	Q9VIP2
P32605	Q9VIQ4
Q12044	Q9VIQ7
Q12186	Q9VIQ8
P25364	Q9VIQ9
P32783	Q9VIR9
P42222	Q9VIS0
P38232	Q9VIS7
Q12191	Q9VIT0
P53233	Q9VIT3
P38692	Q9VIU6
Q3E7A0	Q9VIV3
P49367	Q9VIV5
P09119	Q9VIV8
P51533	Q9VIW1
P20433	Q9VIW3
P36024	Q9VIW5
P32464	Q9VIW6
P40962	Q9VIW8
P38731	Q9VIX1
Q05610	Q9VIX7
Q99220	Q9VIY1
Q08412	Q9VIY3
P40549	Q9VIY5
Q02336	Q9VIY9
P33204	Q9VIZ0
P43605	Q9VIZ1
P32590	Q9VIZ3
P53297	Q9VJ00
P53541	Q9VJ01
Q08911	Q9VJ11
Q12366	Q9VJ12
P37297	Q9VJ14
P50277	Q9VJ16
Q03973	Q9VJ19
P53754	Q9VJ21
P37291	Q9VJ22
P40060	Q9VJ25
P38798	Q9VJ26
Q08774	Q9VJ27
P41735	Q9VJ29
P40051	Q9VJ30
Q12244	Q9VJ32
Q8TGS2	Q9VJ33
P53059	Q9VJ35
P53227	Q9VJ46
O13527	Q9VJ48
P53173	Q9VJ53
P39965	Q9VJ55
P37366	Q9VJ59
P06773	Q9VJ62
Q06683	Q9VJ69
Q12198	Q9VJ70
Q06813	Q9VJ72
P06106	Q9VJ73
P39707	Q9VJ79
Q12252	Q9VJ80
P34756	Q9VJ86
P16664	Q9VJ87
P53100	Q9VJ95
P14065	Q9VJ97
Q04213	Q9VJ98
Q04231	Q9VJA1
P48415	Q9VJA4
P38880	Q9VJA6
Q04493	Q9VJA9
P27999	Q9VJB0
Q04516	Q9VJB3
Q08649	Q9VJB5
P25373	Q9VJC1
P40478	Q9VJC7
P46995	Q9VJD1
P25596	Q9VJD2
Q08236	Q9VJD3
Q04264	Q9VJD4
P38800	Q9VJD8
P12686	Q9VJE3
P47179	Q9VJE4
Q02574	Q9VJE5
Q12241	Q9VJE7
P07834	Q9VJF5
P50110	Q9VJG0
P41834	Q9VJI7
P42947	Q9VJJ6
P49573	Q9VJK3
Q12333	Q9VJK4
Q03750	Q9VJL7
P07259	Q9VJM1
P28263	Q9VJM5
P32585	Q9VJN5
Q03940	Q9VJP1
P53122	Q9VJP9
P38266	Q9VJQ0
Q05775	Q9VJQ5
P40084	Q9VJQ6
Q08979	Q9VJQ7
Q12119	Q9VJR1
P36121	Q9VJR9
P32861	Q9VJS1
P30606	Q9VJS5
P53983	Q9VJS7
Q07651	Q9VJS8
Q02651	Q9VJT3
Q06156	Q9VJU8
P29467	Q9VJV2
P19807	Q9VJW5
Q12373	Q9VJX2
P52923	Q9VJX3
P38129	Q9VJY6
Q05670	Q9VJY8
P38987	Q9VJY9
P39971	Q9VJZ2
P53150	Q9VJZ3
P06779	Q9VJZ4
P40072	Q9VJZ5
P53840	Q9VJZ6
P40106	Q9VJZ7
P36973	Q9VJZ8
P0CX30	Q9VK00
P25348	Q9VK06
P11986	Q9VK13
P48239	Q9VK14
Q06109	Q9VK15
P34218	Q9VK16
P53281	Q9VK18
P22149	Q9VK19
Q12067	Q9VK20
P38631	Q9VK21
Q06697	Q9VK23
