P32368	A0A061ACG4
Q06815	Q18264
P89102	Q18265
P25646	Q18268
P36084	Q18273
P40552	Q18277
Q04603	Q18282
Q12055	Q18299
Q12110	Q18302
P29465	Q18310
P38201	Q18314
P25296	Q18316
P53840	Q18318
P40505	Q18320
Q03868	Q18343
Q00381	Q18345
P22855	Q18357
Q06218	Q18359
P40554	Q18373
P10355	Q18395
Q12188	Q18399
P53073	Q18403
Q06810	Q18406
P22217	Q18409
P32469	Q18412
P14306	Q18421
P53337	Q18426
D6VPM8	Q18429
P36143	Q18438
Q02890	Q18445
P32601	Q18452
Q07729	Q18473
P0C271	Q18474
Q04659	Q18476
Q08235	Q18477
P40986	Q18483
P39722	Q18486
P35719	Q18488
Q12050	Q18490
P38351	Q18493
P0C2I4	Q18494
P47125	Q18501
Q07993	Q18502
Q92328	Q18503
Q12680	Q18508
P35192	Q18509
P40555	Q18512
Q06836	Q18515
P46655	Q18529
Q8TGT4	Q18530
P25617	Q18533
P47042	Q18534
P38298	Q18535
P36090	Q18539
Q12086	Q18546
P04786	Q18547
P30605	Q18553
Q12505	Q18556
P11075	Q18566
P40970	Q18573
Q07622	Q18577
P38884	Q18581
P0CF22	Q18586
P38345	Q18587
Q6Q5H1	Q18594
Q03557	Q18597
Q03125	Q18598
Q01662	Q18599
P46673	Q18603
P40850	Q18605
P18411	Q18606
Q02794	Q18607
P10963	Q18612
P16639	Q18616
P40085	Q18617
Q08977	Q18621
P53919	Q18624
P38966	Q18625
P01094	Q18645
P41902	Q18660
Q04598	Q18662
P43637	Q18668
P32645	Q18674
P53769	Q18677
P25642	Q18678
Q12100	Q18680
Q12745	Q18685
P38701	Q18688
P19097	Q18694
Q3E7A5	Q18700
P53114	Q18711
Q06440	Q18739
P32838	Q18746
P09932	Q18755
P38146	Q18758
P50101	Q18776
P40340	Q18786
P43609	Q18787
Q07821	Q18799
P25368	Q18803
P38893	Q18806
Q02969	Q18809
P32316	Q18817
Q06151	Q18823
Q07454	Q18824
P53549	Q18825
P07250	Q18827
P40567	Q18841
P53256	Q18846
P38112	Q18853
P53341	Q18859
P40354	Q18864
P32789	Q18869
P0CE85	Q18880
P40568	Q18885
P15442	Q18886
P13130	Q18888
P47134	Q18891
P20052	Q18892
Q08108	Q18905
Q12043	Q18909
Q12194	Q18919
P53088	Q18921
Q06090	Q18926
P36126	Q18930
Q01589	Q18932
P39998	Q18937
P47054	Q18938
P40499	Q18942
Q06702	Q18943
Q12184	Q18946
P0CX15	Q18947
P38261	Q18953
P25351	Q18955
P25358	Q18964
P38266	Q18965
P39979	Q18966
Q08962	Q18967
P38187	Q18973
P39715	Q18983
P47988	Q18986
P39001	Q18990
P54858	Q18994
Q12017	Q18999
Q12421	Q19004
P38797	Q19007
P07806	Q19019
P06168	Q19020
P32501	Q19052
Q06407	Q19057
P38989	Q19058
P53317	Q19063
Q04930	Q19064
Q6Q5P6	Q19075
P38887	Q19076
Q12293	Q19082
P42842	Q19086
P36516	Q19087
P31374	Q19088
P33204	Q19090
Q06089	Q19091
Q3E731	Q19093
Q03707	Q19102
Q03327	Q19103
P53744	Q19120
Q05670	Q19124
Q08208	Q19126
Q04396	Q19127
P0CX22	Q19128
Q12107	Q19129
P40094	Q19130
P41895	Q19131
P36519	Q19133
P35209	Q19162
P36149	Q19182
P33310	Q19185
P47064	Q19187
P36047	Q19189
P25566	Q19196
P38428	Q19202
P00549	Q19203
P40414	Q19207
P32330	Q19209
P53843	Q19211
P36077	Q19212
P50080	Q19213
Q08926	Q19232
Q08361	Q19237
P23500	Q19243
P49956	Q19246
P25554	Q19253
P11914	Q19257
P06701	Q19262
P25582	Q19264
P41816	Q19265
P43612	Q19266
P53379	Q19272
P32797	Q19275
P53324	Q19276
P38063	Q19279
Q08273	Q19286
P53141	Q19289
P50873	Q19291
Q99315	Q19293
Q04149	Q19294
P38616	Q19302
P32785	Q19303
Q99395	Q19307
P00890	Q19311
Q06677	Q19317
P43625	Q19319
Q03497	Q19324
P32389	Q19325
P53173	Q19326
Q03935	Q19328
Q06817	Q19329
P39102	Q19335
Q08966	Q19336
P25568	Q19338
Q12220	Q19339
P40210	Q19341
Q12247	Q19345
P40958	Q19350
Q04969	Q19360
P25340	Q19366
P00817	Q19371
P39937	Q19374
P39016	Q19375
Q08914	Q19377
P47179	Q19393
P47131	Q19395
P07702	Q19404
P40089	Q19416
Q07468	Q19418
P47822	Q19421
P38225	Q19424
Q12246	Q19426
P26449	Q19433
Q08421	Q19437
P07249	Q19441
P10863	Q19455
P01149	Q19461
P38325	Q19467
Q08215	Q19469
Q08986	Q19491
Q3E772	Q19496
Q03834	Q19503
P47074	Q19510
P38348	Q19519
P53953	Q19520
Q04033	Q19536
P43593	Q19537
P53599	Q19541
P38084	Q19542
P38334	Q19545
Q12411	Q19546
P53170	Q19547
Q08001	Q19555
P12383	Q19564
P42939	Q19569
P25362	Q19571
P36052	Q19572
P0CH09	Q19581
P40578	Q19584
Q08817	Q19585
Q12363	Q19591
Q08269	Q19615
P40441	Q19617
P36528	Q19626
P38244	Q19633
P47005	Q19641
P48837	Q19642
P35996	Q19655
Q06596	Q19661
Q03219	Q19663
P0CE99	Q19665
Q12488	Q19672
P06104	Q19680
P32474	Q19682
Q08993	Q19683
Q03941	Q19684
Q03796	Q19691
P07261	Q19694
Q08096	Q19698
P47165	Q19699
Q3E7Y8	Q19701
P32605	Q19706
P38335	Q19707
P31378	Q19713
P53144	Q19720
Q3E846	Q19722
P40212	Q19724
P15496	Q19731
P0CF19	Q19733
Q99369	Q19739
Q06821	Q19742
Q03677	Q19743
Q08230	Q19746
P35732	Q19749
P05375	Q19751
P06778	Q19752
Q08959	Q19753
P46948	Q19760
Q05892	Q19764
P15731	Q19766
P38693	Q19769
P53550	Q19774
Q08220	Q19780
Q9ZZX0	Q19781
Q03433	Q19782
Q12498	Q19788
P42223	Q19805
P41338	Q19807
P12385	Q19818
Q05863	Q19820
P21373	Q19824
P39976	Q19825
P35178	Q19826
Q99344	Q19834
Q6Q595	Q19835
P36144	Q19842
P53735	Q19848
P38904	Q19849
Q12018	Q19853
P39005	Q19854
Q06091	Q19862
P47081	Q19863
P53119	Q19864
P53298	Q19866
P0CX35	Q19869
P39109	Q19872
Q08649	Q19877
P20084	Q19891
P53068	Q19894
P51996	Q19901
P42943	Q19905
Q12310	Q19932
P89886	Q19948
P38236	Q19951
P20081	Q19952
P39728	Q19959
P39552	Q19963
P52960	Q19964
P38636	Q19965
Q08906	Q19967
P36012	Q19969
P53086	Q19974
P53835	Q19978
P25441	Q19980
O13559	Q19981
P38799	Q19982
P33894	Q19987
P53200	Q19988
P25604	Q19989
Q00873	Q19991
P38321	Q19994
Q07505	Q1ENI8
P22140	Q1HAZ8
P53009	Q1HB02
P0CX82	Q1XFY9
Q07747	Q1ZXR9
P29469	Q1ZXS5
P47148	Q1ZXT7
P53275	Q1ZXU6
Q04182	Q20002
Q12324	Q20008
P00360	Q20010
P0CX90	Q20011
P03873	Q20013
Q12145	Q20014
P38232	Q20022
P53971	Q20025
P47146	Q20027
P53854	Q20034
P22139	Q20037
Q12041	Q20046
P48365	Q20048
P07866	Q20049
Q05533	Q20051
P40018	Q20052
P0CX84	Q20053
P00410	Q20057
P33201	Q20058
P28240	Q20059
P40046	Q20060
Q3E754	Q20062
P0CX99	Q20063
P19812	Q20065
P47018	Q20068
P25381	Q20071
Q06554	Q20084
Q3E7Z7	Q20095
Q01448	Q20107
P38713	Q20117
Q08923	Q20121
P18494	Q20128
P38990	Q20129
Q12486	Q20130
Q12093	Q20136
P53972	Q20140
P0CX52	Q20143
Q04439	Q20168
P25349	Q20173
P42938	Q20177
P05316	Q20178
P40260	Q20179
P32800	Q20182
Q06704	Q20198
P40040	Q20201
P47144	Q20202
Q12146	Q20203
P05317	Q20206
P38111	Q20223
Q99207	Q20224
Q02892	Q20228
P27680	Q20229
P39113	Q20230
P38707	Q20237
P37254	Q20255
Q05166	Q20264
P53233	Q20275
P32774	Q20287
P22213	Q20296
Q05789	Q20298
P32500	Q20303
Q02866	Q20305
P40553	Q20306
Q03835	Q20308
P43633	Q20310
P53937	Q20311
Q12172	Q20327
P53201	Q20329
P39003	Q20330
Q03080	Q20332
Q03897	Q20334
Q3E7Y6	Q20340
P53100	Q20344
P40994	Q20347
P36166	Q20351
P21954	Q20363
P41734	Q20365
P40345	Q20369
P32590	Q20374
Q3E7Z9	Q20380
P38710	Q20381
Q12042	Q20382
P11633	Q20389
Q12286	Q20390
P43565	Q20393
P47068	Q20398
P40309	Q20402
P32334	Q20422
P14242	Q20425
Q2V2P2	Q20430
P14359	Q20435
Q05871	Q20437
Q08777	Q20445
P54838	Q20448
P53968	Q20471
P48570	Q20476
Q03213	Q20487
Q99258	Q20496
P39101	Q20497
P40073	Q20498
P32911	Q20502
Q03201	Q20507
P40962	Q20519
Q12260	Q20521
Q08687	Q20523
Q12213	Q20546
Q9URQ3	Q20557
Q3E824	Q20560
Q12141	Q20563
P38304	Q20577
P39744	Q20585
P38635	Q20616
Q03306	Q20628
Q07967	Q20629
P39677	Q20631
P36102	Q20634
P39946	Q20636
Q12385	Q20643
P53334	Q20644
P49017	Q20646
P05740	Q20647
P0CX71	Q20652
P47035	Q20655
P53686	Q20660
P40054	Q20675
P35180	Q20676
P03874	Q20677
P33296	Q20678
Q12424	Q20681
Q07551	Q20683
P23642	Q20691
P39525	Q20697
Q01684	Q20707
Q12532	Q20709
P38075	Q20712
P43132	Q20716
Q02354	Q20719
P38272	Q20720
Q04898	Q20727
P28319	Q20728
P47015	Q20733
Q12001	Q20736
P47107	Q20737
P53316	Q20742
P38116	Q20745
P46676	Q20748
P32523	Q20751
P04051	Q20752
P28003	Q20758
P25638	Q20759
Q07395	Q20760
P47166	Q20770
Q03655	Q20771
P38426	Q20772
O13563	Q20774
P53140	Q20775
Q12199	Q20778
P40513	Q20779
Q06287	Q20780
Q08214	Q20796
P38346	Q20797
P29704	Q20798
Q08734	Q20806
P43124	Q20813
P0CY04	Q20814
Q06541	Q20815
P36051	Q20819
P53008	Q20822
Q06346	Q20845
Q02784	Q20848
P38198	Q20849
P53934	Q20872
Q06698	Q20875
Q08686	Q20877
Q12175	Q20878
Q8TGT6	Q20892
P53096	Q20893
P18899	Q20898
P39987	Q20924
P32350	Q20932
P32858	Q20936
P38682	Q20937
P08518	Q20938
P38778	Q20940
P38823	Q20945
P0CX38	Q20950
P32833	Q20956
P34221	Q20964
Q06678	Q20970
Q12287	Q20971
P33753	Q20974
P47101	Q20976
P53751	Q20977
P38892	Q20981
Q12487	Q20992
P53072	Q21000
P53912	Q21004
P69851	Q21006
Q04689	Q21017
P39960	Q21018
Q08972	Q21021
P53264	Q21024
P40497	Q21028
P39980	Q21037
Q02896	Q21038
P34252	Q21049
P53172	Q21053
P06844	Q21067
P41818	Q21069
P38071	Q21073
Q12040	Q21080
Q08743	Q21083
P53834	Q21086
P40529	Q21088
P16523	Q21106
Q3E7A0	Q21109
Q99222	Q21111
Q07748	Q21115
Q06204	Q21121
Q12504	Q21126
Q03010	Q21127
P25639	Q21138
Q03124	Q21148
Q04307	Q21153
Q04599	Q21154
P32873	Q21155
P38830	Q21156
Q12034	Q21166
Q05497	Q21175
P38199	Q21177
P32945	Q21180
Q03722	Q21182
Q08931	Q21190
Q12124	Q21193
Q06001	Q21209
P39112	Q21210
P02994	Q21215
Q04305	Q21217
Q04767	Q21219
P38920	Q21222
P36085	Q21225
P53941	Q21227
P41834	Q21229
P37291	Q21230
Q99247	Q21234
Q03144	Q21253
P40566	Q21263
P32522	Q21266
P24521	Q21268
P32798	Q21270
Q00618	Q21274
P36000	Q21276
P08521	Q21278
Q06522	Q21281
Q12377	Q21284
P27514	Q21285
Q02805	Q21295
P00572	Q21298
P53615	Q21301
Q2V2P4	Q21302
Q07732	Q21307
P53095	Q21313
P53872	Q21318
Q06213	Q21319
Q07534	Q21323
P35735	Q21338
Q99312	Q21341
P40557	Q21342
Q06604	Q21344
Q3E752	Q21346
P12683	Q21350
P35497	Q21351
P34166	Q21352
Q6Q5K6	Q21354
P49095	Q21355
P38144	Q21361
P46955	Q21368
P53127	Q21369
P23594	Q21372
P43553	Q21380
P25605	Q21418
P20795	Q21427
P25632	Q21430
P53064	Q21436
P34110	Q21441
O13516	Q21443
P08539	Q21444
Q02863	Q21446
P25355	Q21452
P53954	Q21453
P53071	Q21459
P53916	Q21463
P17555	Q21465
P38156	Q21471
Q04516	Q21480
P04385	Q21481
P25303	Q21484
P38851	Q21486
P20437	Q21499
Q12082	Q21500
P25588	Q21501
Q12446	Q21502
P48239	Q21504
P39718	Q21526
P09119	Q21541
Q06709	Q21544
P34078	Q21549
P21705	Q21551
P39547	Q21554
P28778	Q21555
P25607	Q21557
P48813	Q21559
Q03375	Q21568
P53257	Q21571
P48412	Q21592
P21595	Q21593
P47040	Q21601
Q12459	Q21603
P34234	Q21605
Q06071	Q21616
Q08949	Q21621
P46974	Q21624
Q03263	Q21625
P46969	Q21631
Q08746	Q21633
P38218	Q21636
P32905	Q21648
Q12406	Q21649
Q3E801	Q21662
P38757	Q21672
P53844	Q21691
P32451	Q21693
Q03705	Q21697
P31380	Q21701
P12611	Q21702
Q05043	Q21704
Q04341	Q21705
P40206	Q21730
P23968	Q21731
Q12153	Q21732
P34087	Q21735
P38287	Q21736
P33421	Q21738
P32875	Q21740
P10622	Q21742
P30822	Q21746
P35723	Q21747
Q05636	Q21750
Q06706	Q21752
Q02754	Q21753
Q04372	Q21754
P38555	Q21763
P47149	Q21770
P38113	Q21771
Q03153	Q21774
Q05812	Q21776
P00925	Q21777
P40480	Q21793
P32525	Q21799
P34224	Q21811
P25338	Q21816
Q07381	Q21817
Q07738	Q21821
P36523	Q21824
P42843	Q21827
P53251	Q21828
Q08723	Q21831
P40050	Q21832
P38210	Q21872
P53740	Q21875
Q03770	Q21876
Q12013	Q21878
P25339	Q21882
P25585	Q21883
P40992	Q21884
Q08971	Q21898
Q04751	Q21899
Q03919	Q21901
Q12420	Q21902
P20840	Q21910
Q03290	Q21915
P10174	Q21916
P33303	Q21920
P53966	Q21921
P38909	Q21924
Q04005	Q21925
Q06639	Q21926
Q12024	Q21929
P53914	Q21930
P32843	Q21939
P21592	Q21944
P39521	Q21945
Q02895	Q21948
P27637	Q21952
P47088	Q21954
P32562	Q21955
P38874	Q21961
Q03465	Q21962
P53863	Q21966
P38080	Q21986
P48567	Q21993
P25336	Q21994
Q03619	Q21997
Q07500	Q21999
P22804	Q22002
P07276	Q22003
P38999	Q22004
P38090	Q22013
P40469	Q22018
P32457	Q22019
P04819	Q22020
P38781	Q22021
P47083	Q22024
Q04081	Q22032
Q12012	Q22033
Q03016	Q22037
Q99190	Q22038
P53270	Q22047
P28742	Q22048
P32589	Q22053
P41805	Q22054
Q12257	Q22055
P32452	Q22056
P21957	Q22059
Q06835	Q22067
P53632	Q22070
Q8TGU5	Q22075
P32479	Q22078
Q05541	Q22080
P41543	Q22092
P53286	Q22095
Q03653	Q22099
P38302	Q22100
P18851	Q22101
P40450	Q22111
P10862	Q22123
P39012	Q22125
Q08994	Q22128
P53267	Q22134
P43596	Q22135
P38176	Q22140
Q04183	Q22145
P00447	Q22156
P36164	Q22158
P53230	Q22161
Q08032	Q22167
P53285	Q22168
P50089	Q22169
Q03036	Q22170
P0C0W1	Q22174
P23287	Q22178
Q06839	Q22179
Q12391	Q22183
Q02196	Q22187
P38126	Q22197
P32462	Q22207
P25610	Q22211
Q07555	Q22212
P40501	Q22215
P14747	Q22218
P0CE68	Q22225
Q12196	Q22227
Q12116	Q22230
Q05015	Q22237
P43549	Q22240
Q12229	Q22243
P25301	Q22249
Q12136	Q22253
P09457	Q22257
P38068	Q22258
P38824	Q22260
P07258	Q22284
P0CX60	Q22285
P53320	Q22288
Q12389	Q22289
P19735	Q22292
P53879	Q22306
P38174	Q22307
P53507	Q22310
P32339	Q22313
P38280	Q22323
Q12340	Q22329
P29056	Q22352
Q12289	Q22360
Q04398	Q22361
P47124	Q22366
P46654	Q22370
P17157	Q22387
Q06053	Q22388
O43137	Q22417
P38360	Q22430
P47032	Q22431
P38374	Q22438
Q07799	Q22453
Q08956	Q22459
Q06245	Q22469
P32490	Q22472
P41735	Q22482
Q12378	Q22493
P32563	Q22494
Q12462	Q22495
P38735	Q22498
P53746	Q22499
P22353	Q22505
P47133	Q22510
Q12139	Q22515
P38866	Q22516
Q08280	Q22528
Q04746	Q22531
P40475	Q22541
Q04608	Q22543
P22141	Q22544
P32783	Q22550
P07172	Q22554
Q3E825	Q22557
P13587	Q22559
P36040	Q22562
Q01976	Q22574
Q99394	Q22585
P36142	Q22587
P53306	Q22592
Q12122	Q22601
Q04053	Q22615
P87108	Q22616
P40474	Q22618
Q01477	Q22619
P24384	Q22620
P35184	Q22621
P53878	Q22623
P25044	Q22624
P24814	Q22629
P46956	Q22631
P03965	Q22633
Q12431	Q22639
P38265	Q22640
Q08979	Q22647
Q3E7X8	Q22649
P38870	Q22660
Q3E791	Q22662
Q3E771	Q22664
P22108	Q22666
Q02201	Q22669
P25382	Q22676
P41920	Q22677
Q99380	Q22678
P53146	Q22687
P25578	Q22694
P0CY06	Q22695
Q99385	Q22696
Q04235	Q22702
P14020	Q22703
P46985	Q22705
P53909	Q22707
Q04226	Q22708
P38856	Q22717
P39971	Q22718
P46999	Q22719
P46963	Q22721
Q07471	Q22733
P32047	Q22743
P32454	Q22747
P25365	Q22751
Q02831	Q22752
Q04201	Q22756
Q02772	Q22757
Q02875	Q22768
P25558	Q22781
P42838	Q22782
P07275	Q22792
P32597	Q22794
P32476	Q22795
Q12144	Q22798
P38264	Q22799
P52893	Q22805
Q12180	Q22814
P41819	Q22826
P13433	Q22830
P53166	Q22835
Q12270	Q22847
P08019	Q22849
P33297	Q22866
P32356	Q22869
P52923	Q22875
P38250	Q22886
Q12096	Q22888
P0CX28	Q22909
Q04867	Q22910
P0CX58	Q22918
P03882	Q22922
Q08760	Q22923
P41835	Q22924
Q02767	Q22935
P40090	Q22936
Q06819	Q22945
Q04549	Q22950
P50945	Q22961
Q12267	Q22968
P07274	Q22972
P33335	Q22974
P25345	Q22993
P47130	Q23009
P48353	Q23015
Q99252	Q23022
P43682	Q23023
Q06412	Q23031
P39515	Q23036
Q05874	Q23038
P32558	Q23045
Q06682	Q23050
P18239	Q23064
Q08278	Q23066
P52488	Q23079
P16467	Q23084
P39676	Q23089
Q3E829	Q23090
P47013	Q23091
P53265	Q23092
P16151	Q23096
P53927	Q23098
Q3E826	Q23100
P38769	Q23120
Q03264	Q23121
Q08299	Q23126
P32609	Q23130
P56508	Q23144
P36156	Q23145
P38228	Q23146
P40442	Q23149
P36115	Q23155
Q06164	Q23158
P32792	Q23163
P53332	Q23164
Q06104	Q23174
P09938	Q23179
P0CX76	Q23182
Q04170	Q23191
Q06892	Q23192
P06838	Q23194
P46151	Q23195
Q12217	Q23196
Q00246	Q23205
P38859	Q23206
P25615	Q23212
Q03322	Q23215
P38751	Q23217
P26755	Q23223
P38705	Q23227
Q12338	Q23232
P53742	Q23237
Q02199	Q23240
Q05924	Q23246
P46679	Q23255
P53981	Q23256
Q3E802	Q23260
P53752	Q23269
Q08886	Q23270
P08679	Q23272
P21826	Q23280
P36101	Q23288
Q3E810	Q23290
P38615	Q23295
P32612	Q23296
P48568	Q23307
P15646	Q23312
P38270	Q23315
P53209	Q23319
P40024	Q23322
Q04052	Q23333
P32829	Q23338
P38278	Q23342
P32630	Q23355
P38991	Q23356
Q3E784	Q23357
P53297	Q23359
Q12366	Q23360
Q03162	Q23363
P06704	Q23368
P48561	Q23378
P53920	Q23381
Q03703	Q23382
P53067	Q23384
Q12090	Q23389
P53091	Q23390
P37303	Q23402
P38721	Q23403
P47167	Q23419
P41544	Q23421
P14922	Q23424
P40204	Q23445
P07260	Q23449
P38722	Q23450
P40494	Q23451
Q04934	Q23457
Q12458	Q23458
P21242	Q23463
Q12368	Q23477
Q12329	Q23482
P53336	Q23490
P32178	Q23493
Q04172	Q23494
P38773	Q23495
Q04947	Q23500
P34244	Q23509
Q07376	Q23520
P10663	Q23521
Q06485	Q23536
P39936	Q23541
Q06169	Q23543
P0C074	Q23544
P53246	Q23551
P40347	Q23560
P38907	Q23563
P53598	Q23571
P43547	Q23581
P10962	Q23588
Q12395	Q23590
Q08226	Q23591
P18408	Q23593
P53964	Q23595
P32495	Q23597
P40489	Q23600
Q05568	Q23614
P40458	Q23615
P32908	Q23621
P53295	Q23624
Q12333	Q23628
P33413	Q23639
P32492	Q23642
P40586	Q23644
P11927	Q23645
P39551	Q23646
P18238	Q23647
Q06159	Q23651
P38203	Q23652
Q04629	Q23662
P53965	Q23663
P27697	Q23664
Q12204	Q23665
P22137	Q23670
Q06247	Q23672
P23624	Q23673
P39993	Q23680
Q12067	Q23681
P53938	Q23683
Q04412	Q25AR9
P13134	Q26261
P38222	Q27218
P40546	Q27245
P0CX40	Q27257
Q02979	Q27274
P36147	Q27355
P28007	Q27365
P24870	Q27371
P02293	Q27389
P53633	Q27395
Q03735	Q27420
Q99287	Q27433
P53629	Q27461
P38629	Q27464
P36046	Q27473
P32526	Q27474
Q05958	Q27484
P09733	Q27487
P39077	Q27488
P47117	Q27492
P47075	Q27493
P36092	Q27494
P53721	Q27497
Q3E833	Q27504
Q02203	Q27505
P34164	Q27511
P25346	Q27516
Q05902	Q27522
P19882	Q27527
P40017	Q27532
P46951	Q27535
P32769	Q27539
Q08961	Q27873
P36057	Q27874
P0CX80	Q27876
P05318	Q27888
P53107	Q27894
Q08579	Q27GV2
P40884	Q2A949
P10507	Q2EEM4
P14164	Q2EEN1
Q3E795	Q2L6V1
P14904	Q2L6W1
P38314	Q2L6W5
P00815	Q2L6Y6
P50102	Q2PJ68
P53749	Q2PJ74
P04387	Q2PJ77
Q12387	Q2V0X4
Q03012	Q2V4S7
P25360	Q2WF59
P53010	Q2XMY1
Q12223	Q2XMY3
Q02961	Q2XMY7
P32591	Q2XMZ9
Q12189	Q2XN04
P35734	Q2XN18
P0C5N3	Q38G52
P39735	Q3HKD3
P27705	Q3LRZ3
P47177	Q3V5I7
P31377	Q3V5J2
Q03208	Q3Y3Z9
P53870	Q3Y400
P32327	Q3Y407
P24720	Q3Y416
P32613	Q400L6
Q3E736	Q400M2
P39013	Q45FX5
Q12361	Q4JFH9
Q07788	Q4PIV5
P42884	Q4PIX1
Q01532	Q4TT88
P04803	Q4TTA9
P48234	Q4W525
Q08199	Q4W5P0
Q08485	Q4W5T0
P23180	Q4W5T6
Q12335	Q53U87
P49367	Q564P9
Q08822	Q564Q1
Q05635	Q564X7
P14680	Q564Y3
P36093	Q564Z8
Q04116	Q565A2
P40096	Q56VX2
Q12493	Q58AA7
P50623	Q59E83
P0CX79	Q5CCI4
Q12417	Q5DX39
P40455	Q5FC17
P38151	Q5FC36
Q04364	Q5FC44
P32319	Q5FC64
Q06705	Q5H9M9
P09547	Q5H9N3
Q04347	Q5R3S7
Q08689	Q5TEB3
P48016	Q5UBX5
Q08749	Q5WRN1
P25389	Q5WRR6
P25357	Q5WRT1
Q08622	Q5WRT8
P23285	Q65CL5
P35724	Q65CM0
P38193	Q65XX2
P53852	Q65XX4
P38305	Q65XX7
P33202	Q65ZB4
P22936	Q65ZG6
P41809	Q65ZG8
P53319	Q65ZJ7
Q02685	Q65ZK1
P32488	Q68TI8
P36062	Q69Z08
P03879	Q69Z09
Q05543	Q69ZI6
P28004	Q6A573
Q12382	Q6A5A0
P15565	Q6BER5
Q06686	Q6BER6
P0CX66	Q6BET5
P43535	Q6BEV5
P41821	Q6EZG4
Q03338	Q6I6D4
P08466	Q7JKC3
Q7M4S9	Q7JKG4
P05374	Q7JKI3
P40561	Q7JKP6
P52911	Q7JL61
P36060	Q7JLB0
Q12305	Q7JLC8
P38890	Q7JLH5
P35817	Q7JM44
Q08223	Q7JMQ6
P02992	Q7JMR0
P40367	Q7JMS5
Q03482	Q7JMT5
Q05777	Q7JNM3
P53177	Q7JNW7
Q12751	Q7JP54
P40580	Q7JP60
P0C2I9	Q7JP67
P15700	Q7JP86
Q03175	Q7JPE3
P53973	Q7K6X4
P24784	Q7K714
Q3E747	Q7K755
P33417	Q7K7J0
P25386	Q7K866
P53215	Q7KPQ9
P40079	Q7KX66
Q03667	Q7YSI9
P47100	Q7YTG9
Q99220	Q7YTI4
P38332	Q7YTK8
P38750	Q7YTL5
P11792	Q7YTM2
P53980	Q7YTU4
Q02825	Q7YWM3
P32643	Q7YWP5
P47155	Q7YWR3
Q12009	Q7YWR7
A2P2R3	Q7YWS9
Q07798	Q7YWT8
Q07540	Q7YWU3
P41695	Q7YWU6
P49957	Q7YWU9
P36132	Q7YWW5
Q03648	Q7YWX7
P39995	Q7YWY4
Q12379	Q7YWZ9
P47063	Q7YX25
P25453	Q7YX28
P40465	Q7YX52
Q08651	Q7Z072
P39991	Q7Z116
Q07888	Q7Z145
P38073	Q7Z152
P40021	Q86B36
P08640	Q86C56
P24583	Q86DA5
Q08213	Q86DC2
P31109	Q86DC6
P35718	Q86FL8
Q12339	Q86FN3
P49960	Q86G92
P26785	Q86GU3
P0CX26	Q86LS4
P07263	Q86MD3
P32944	Q86MI0
Q02883	Q86MP3
P13663	Q86NB7
P40048	Q86NC2
P54860	Q86NE0
P39954	Q86NH1
P52868	Q86PJ4
P47048	Q86S29
Q08747	Q86S44
P19880	Q86S66
P57743	Q86S68
P40960	Q8I0Z1
Q08645	Q8I0Z7
P53728	Q8I100
P00635	Q8I116
Q08176	Q8I136
Q04322	Q8I4C4
P32896	Q8I4C9
Q12350	Q8I4D6
Q03388	Q8I4E2
P11154	Q8I4F7
Q12259	Q8I4G3
P0CX67	Q8I4H7
Q07442	Q8I4M5
P38740	Q8I7F8
Q12334	Q8I7G4
P39549	Q8I7I5
Q03898	Q8I7L5
Q08748	Q8I7M7
Q05926	Q8I7M8
Q07629	Q8I7N6
P40440	Q8IA74
P36091	Q8IA98
Q12214	Q8IAA5
P39711	Q8IFZ2
Q06593	Q8IG33
P31111	Q8IG45
P38172	Q8IG64
Q12164	Q8IG65
P54885	Q8IG67
Q12439	Q8IG68
P22146	Q8IG69
P40350	Q8IG72
Q04895	Q8ITW4
P53101	Q8ITW5
P43548	Q8ITW8
P27895	Q8ITY4
P22768	Q8ITY8
P24482	Q8ITZ1
A0A0B7P3V8	Q8MLZ5
P43619	Q8MNS6
P04173	Q8MNT1
P28005	Q8MNT9
P49435	Q8MNU8
P32569	Q8MNV8
P42940	Q8MPP5
Q05610	Q8MPT0
P38822	Q8MPT2
P53224	Q8MPX3
P20448	Q8MQ11
Q12166	Q8MQ17
P36024	Q8MQ20
P05150	Q8MQ25
P16550	Q8MQ42
P26725	Q8MQ51
Q12469	Q8MQ56
P53885	Q8MQ70
Q12467	Q8MQG6
P53918	Q8MXD9
P54964	Q8MXF3
P40975	Q8MXH7
Q01766	Q8MXH8
P53861	Q8MXI1
P23796	Q8MXJ7
Q08634	Q8MXR3
P53947	Q8MXS1
Q03071	Q8MXS5
Q06679	Q8MXS8
P53199	Q8MXT1
P50078	Q8MXT6
P25040	Q8MXU9
P54199	Q8MYM6
P43616	Q8MYM8
P13181	Q8MYP1
Q3E7B2	Q8MYQ0
P29478	Q8MYQ1
P04161	Q8STE5
Q08387	Q8STF6
Q06511	Q8T3B9
Q08465	Q8T3G2
Q08204	Q8T3U1
Q12078	Q8T666
P40511	Q8T7Y4
P38358	Q8T7Z2
P38079	Q8T874
Q12471	Q8TA47
P32917	Q8TA52
Q01080	Q8TA83
Q04048	Q8WQA4
P04050	Q8WQA8
P39970	Q8WQB3
P47087	Q8WQB6
Q06616	Q8WQC0
P25374	Q8WQC9
P0CD90	Q8WQD4
Q08224	Q8WQD8
